EVCC,VCC,NGC,RAJ2000,DEJ2000,Offset,cz,MmI,MmV,MTyp1,MTyp2,TT1,MTypV,umag,gmag,rmag,imag,zmag,Rad,R50,DR7,Sloan,Simbad,NED
933,0,,189.12179999999998,18.300499999999996,0.052,884.8,M," ",dE(N),RA,401,,17.62,15.39,14.77,14.47,14.03,34.77,9.92,DR7,Sloan,Simbad,NED
934,1668,,189.12559999999996,13.542699999999998,0.799,1436.8,M,P,dS0,RA,410,dS0:,18.44,17.45,16.78,16.61,16.41,45.08,12.59,DR7,Sloan,Simbad,NED
935,1669,,189.12749999999997,13.638499999999999,0.665,765.5,M,M,dE(N),RA,401,"dE6,N",18.0,16.18,15.52,15.29,15.13,55.2,12.18,DR7,Sloan,Simbad,NED
936,1674,,189.1349,13.748299999999999,0.392,867.3,M,M,dE(N),RA,401,"dE3,N",17.4,16.0,15.31,14.98,14.99,40.2,14.38,DR7,Sloan,Simbad,NED
937,1673,4567,189.13779999999997,11.258099999999999,5.348,2280.5,M,M,Sc,BE,203,Sc(s)II-III,12.8,11.49,10.87,10.55,10.36,126.01,37.05,DR7,Sloan,Simbad,NED
938,1676,4568,189.14309999999998,11.239399999999998,2.121,2230.8,M,M,Sc,RE,203,Sc(s)III,12.7,11.32,10.6,10.2,9.91,170.57,37.5,DR7,Sloan,Simbad,NED
939,1675,,189.14529999999996,8.054499999999999,1.666,1497.4,M,M,S,BE,206,pec,15.83,14.43,13.87,13.59,13.32,70.29,17.04,DR7,Sloan,Simbad,NED
941,1682,,189.1529,14.225899999999998,0.649,43.9,M,M,dE,RA,400,dE4:,18.56,17.23,16.57,16.14,16.07,25.98,6.8,DR7,Sloan,Simbad,NED
942,1678,,189.15679999999998,6.621099999999999,0.888,1006.0,M,M,SBd,BE,214,SBdIV,15.08,14.17,13.85,13.68,13.41,85.9,24.4,DR7,Sloan,Simbad,NED
943,1684,,189.16439999999997,11.101899999999999,0.705,649.6,M,M,dS0,BE,410,dS08:,16.27,14.99,14.56,14.27,14.08,54.69,12.09,DR7,Sloan,Simbad,NED
944,1685,,189.17499999999998,3.1075999999999997,1.878,1453.4,M,P,Sm,BE,205,SBd(on_edge),16.62,15.86,15.65,15.48,15.09,56.88,12.51,DR7,Sloan,Simbad,NED
946,1688,,189.19639999999998,14.739799999999999,0.313,531.5,M,M,dE(N),RA,401,dE4,17.45,16.63,16.11,15.76,16.5,25.5,7.38,DR7,Sloan,Simbad,NED
947,1687,,189.2042,4.1046,0.199,848.5,M,P,dE(N),RA,401,"dE3,N",16.84,15.35,14.65,14.4,14.26,45.29,12.7,DR7,Sloan,Simbad,NED
948,1691,,189.21299999999997,12.958799999999998,0.072,543.7,M,M,edge-on,RA,207,dS09:,19.49,17.73,17.22,16.91,16.65,28.64,6.82,DR7,Sloan,Simbad,NED
950,1695,,189.22859999999997,12.519999999999998,0.158,1747.7,M,M,dS0,RA,410,dS0:,15.91,14.25,13.63,13.33,13.05,74.32,20.25,DR7,Sloan,Simbad,NED
952,1696,4571,189.23449999999997,14.217799999999999,1.935,340.8,M,M,Sc,RE,203,Sc(s)II-III,12.9,11.59,10.95,10.54,10.46,159.67,53.64,DR7,Sloan,Simbad,NED
953,0,,189.25589999999997,22.008799999999997,0.881,1210.2,M," ",Irr(LSB),BE,300,,18.9,18.04,17.64,17.21,16.85,12.24,3.62,DR7,Sloan,Simbad,NED
954,1699,,189.26259999999996,6.926599999999999,12.104,1609.5,M,M,SBm,BE,215,SBmIII,15.04,14.14,13.84,13.67,13.78,60.5,14.31,DR7,Sloan,Simbad,NED
955,1701,,189.27929999999998,5.421599999999999,0.014,1171.7,M,B,dE,RA,400,S0,16.89,15.73,15.06,14.71,14.59,26.22,6.67,DR7,Sloan,Simbad,NED
956,1704,,189.29039999999998,10.2723,0.138,304.7,M,M,dE,RA,400,dE6,17.46,16.33,15.64,15.32,15.32,41.17,9.91,DR7,Sloan,Simbad,NED
957,1710,,189.32189999999997,10.888099999999998,0.412,-10.9,M,P,dE,RA,400,dE2?,18.62,17.36,16.6,16.64,16.45,27.4,6.65,DR7,Sloan,Simbad,NED
958,0,,189.32819999999998,0.21339999999999998,0.077,903.3,M," ",dE,RA,400,,18.04,16.83,16.23,15.92,15.79,35.63,8.21,DR7,Sloan,Simbad,NED
959,1711,,189.34229999999997,12.286999999999999,0.19,447.7,M,M,dE(N),RA,401,"dE3,N",17.64,16.11,15.42,15.17,15.12,38.3,10.76,DR7,Sloan,Simbad,NED
960,1714,,189.35479999999998,14.312199999999999,3.298,-79.1,M,M,Irr(LSB),BA,300,"dE4,N",19.49,17.34,16.95,16.5,16.22,30.78,9.13,DR7,Sloan,Simbad,NED
961,1717,,189.37049999999996,12.352599999999999,2.283,1465.6,M,M,dE,RA,400,dE7,18.33,16.45,15.8,15.95,16.17,73.18,17.56,DR7,Sloan,Simbad,NED
963,1722,,189.39279999999997,8.482,0.11,1527.5,M,M,dE,RA,400,dE4,18.69,17.95,17.52,17.2,16.5,24.84,6.1,DR7,Sloan,Simbad,NED
964,1725,,189.4209,8.559299999999999,2.637,1050.9,M,M,SBm,BE,215,SmIII/BCD,15.32,14.23,13.96,13.78,13.85,71.32,17.57,DR7,Sloan,Simbad,NED
965,1727,4579,189.43099999999998,11.8182,29.767,1686.1,M,M,SBb,RA,212,Sab(s)II,11.69,10.12,9.37,8.95,8.72,201.83,49.2,DR7,Sloan,Simbad,NED
969,0,,189.44389999999999,-2.7819,1.043,1001.4,M," ",Irr(HSB),BE,310,,17.53,16.38,15.85,15.49,15.58,29.2,8.19,DR7,Sloan,Simbad,NED
971,1730,4580,189.45159999999998,5.368399999999999,0.373,1042.3,M,M,Sb,RE,202,Sc/Sa,14.04,12.3,11.58,11.16,11.0,91.31,24.99,DR7,Sloan,Simbad,NED
972,0,,189.49239999999998,24.044399999999996,1.09,1227.0,M," ",Irr(LSB),BE,300,,18.43,17.33,17.14,17.11,16.54,22.75,6.5,DR7,Sloan,Simbad,NED
973,1740,,189.50189999999998,14.177499999999998,4.915,-162.9,M,M,dE,RA,400,dE0:,18.09,17.33,16.84,16.09,16.8,31.59,10.31,DR7,Sloan,Simbad,NED
976,1743,,189.52829999999997,10.082399999999998,0.055,1271.2,M,M,dS0,RA,410,dE6,16.78,15.35,14.75,14.45,14.27,50.77,12.19,DR7,Sloan,Simbad,NED
977,1744,,189.52889999999996,10.165099999999999,1.846,1176.4,M,P,Irr(HSB),BE,310,BCD?,17.69,16.62,16.46,16.47,16.47,24.46,5.52,DR7,Sloan,Simbad,NED
978,1747,,189.54029999999997,13.580699999999998,0.633,649.2,M,M,dE,RA,400,dE5:,17.71,17.44,16.73,16.46,16.89,47.28,12.31,DR7,Sloan,Simbad,NED
979,1757,4584,189.57459999999998,13.110099999999997,0.808,1747.8,M,M,Sa,BE,201,Sa(s)pec,14.9,13.49,12.9,12.56,12.47,66.12,16.66,DR7,Sloan,Simbad,NED
980,1755,,189.57709999999997,7.217099999999999,13.84,1096.7,M,M,dE(N),RA,401,"dE4:,N",16.59,15.58,14.92,14.58,14.28,62.72,16.52,DR7,Sloan,Simbad,NED
981,1758,,189.58669999999998,7.891299999999999,0.144,1786.6,M,M,Sc,BE,203,Sc(on_edge),15.84,14.59,14.06,13.81,13.67,88.41,16.87,DR7,Sloan,Simbad,NED
982,0,,189.5878,19.5418,2.472,1370.5,M," ",Sm,BE,205,,16.49,15.53,15.23,15.16,14.86,47.77,13.02,DR7,Sloan,Simbad,NED
983,0,,189.59049999999996,1.2021,0.1,1183.5,M," ",dE,BE,400,,18.76,17.75,17.3,17.1,16.78,10.41,2.9,DR7,Sloan,Simbad,NED
